order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDX10477,2018-08-06,15:05:54,Lunch,BK,"[('Steak', 3), ('Burger', 7), ('Salad', 4), ('Fries', 10)]",540.8,-37.8231336,144.9703906,0,7.938,13.555021599999998
ORDA05768,2018-05-19,12:33:48,Lunch,BK,"[('Steak', 5), ('Salad', 10), ('Fries', 1), ('Burger', 8), ('Chicken', 5)]",817.0,-37.803438,144.962735,0,7.742,16.2511533
ORDA01841,2018-08-21,15:36:20,Lunch,BK,"[('Fries', 10), ('Chicken', 8), ('Steak', 3)]",511.0,-37.8233466,144.9885053,0,6.383,12.2062179
ORDA10328,2018-07-16,14:25:21,Lunch,BK,"[('Fries', 9), ('Salad', 8), ('Burger', 6)]",431.6,-37.8057988,144.9947996,0,5.102,11.231359800000002
ORDA04006,2018-07-04,14:05:04,Lunch,BK,"[('Steak', 7), ('Fries', 4), ('Chicken', 5)]",523.0,-37.8233965,144.93557969999998,0,10.609,16.6740123
ORDA06294,2018-09-13,16:27:02,Dinner,BK,"[('Pasta', 1), ('Shrimp', 9), ('Salmon', 9)]",882.5,-37.809283799999996,144.95753069999998,0,8.0,15.366062900000001
ORDX05369,2018-11-23,18:49:00,Dinner,BK,"[('Shrimp', 3), ('Fish&Chips', 2), ('Salmon', 8), ('Pasta', 1)]",587.5,-37.819767799999994,144.9426642,0,9.78,16.5128476
ORDJ10983,2018-07-30,14:55:46,Lunch,BK,"[('Salad', 2), ('Steak', 9), ('Chicken', 6), ('Fries', 2)]",655.4,-37.8121119,144.97398169999997,0,6.76,12.352091099999999
ORDK04791,2018-02-17,09:31:16,Breakfast,BK,"[('Eggs', 4), ('Pancake', 7), ('Cereal', 10)]",467.75,-37.825292100000006,144.9821561,0,7.002,14.0012171
ORDK05494,2018-11-05,18:08:27,Dinner,BK,"[('Shrimp', 5), ('Fish&Chips', 1)]",305.0,-37.819857299999995,144.9518752,0,8.922,16.059124100000002
ORDA04401,2018-10-03,17:07:36,Dinner,BK,"[('Salmon', 1), ('Shrimp', 10), ('Pasta', 4), ('Fish&Chips', 5)]",866.0,-37.802490399999996,144.9634374,0,7.809,14.7567256
ORDX04691,2018-06-09,13:14:21,Lunch,BK,"[('Salad', 4), ('Steak', 8), ('Burger', 3), ('Fries', 10)]",641.8,-37.8204811,144.9840904,0,6.452,15.067937699999998
