order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDY03163,2018-09-15,16:27:02,Dinner,tp,"[('Fish&Chips', 4), ('Salmon', 7), ('Pasta', 3), ('Shrimp', 3)]",671.5,-37.8156114,144.9734903,0,8.318,14.1403236
ORDB08039,2018-05-19,12:33:48,Lunch,TP,"[('Steak', 4), ('Salad', 7)]",300.4,-37.8065438,145.0107074,0,12.438,17.011135
ORDA01841,2018-08-21,15:36:20,Lunch,BK,"[('Fish&Chips', 3), ('Fries', 10), ('Chicken', 8)]",511.0,-37.8233466,144.9885053,0,6.383,12.2062179
ORDB05089,2018-03-14,10:21:58,Breakfast,TP,"[('Coffee', 3), ('Cereal', 10), ('Pancake', 10)]",475.0,-37.7996592,144.9701942,0,9.221,12.911713
ORDA10328,2018-07-16,14:25:21,Dinner,BK,"[('Fries', 9), ('Salad', 8), ('Burger', 6)]",431.6,-37.8057988,144.9947996,0,5.102,11.2313598
ORDA04006,2018-07-04,14:05:04,Lunch,BK,"[('Steak', 7), ('Fries', 4), ('Chicken', 5)]",523.0,-37.8233965,144.9355797,0,10.609,16.6740123
ORDI08864,2018-02-08,09:10:59,Breakfast,NS,"[('Pancake', 6), ('Eggs', 9), ('Cereal', 9)]",532.5,-37.8168264,144.9505586,0,9.724,14.1068721
ORDA06294,2018-09-13,16:27:02,Dinner,BK,"[('Pasta', 1), ('Shrimp', 9), ('Salmon', 9)]",882.5,-37.8092838,144.9575307,0,8.0,15.3660629
ORDJ02649,2018-04-02,10:52:23,Breakfast,TP,"[('Shrimp', 6), ('Cereal', 9)]",334.5,-37.8242505,144.9905173,0,9.618,11.5083717
ORDB10854,2018-11-09,18:18:35,Dinner,TP,"[('Pasta', 2), ('Shrimp', 5), ('Fish&Chips', 2)]",395.0,-37.8117943,144.9460717,1,9.842,13.8022975
ORDZ04271,2018-01-21,08:40:33,Breakfast,NS,"[('Coffee', 6), ('Pancake', 6), ('Eggs', 4), ('Cereal', 8)]",446.5,-37.8036834,144.9649862,1,6.845,13.607821
ORDJ04320,2018-06-29,13:54:55,Lunch,TP,"[('Fries', 3), ('Steak', 8)]",396.0,37.8061722,144.9447485,0,10.048,13.3210147
ORDB07496,2018-07-04,14:05:04,Lunch,TP,"[('Steak', 2), ('Fries', 9), ('Salad', 8), ('Burger', 7), ('Chicken', 4)]",680.6,-37.8041871,145.0022771,0,11.746,14.839791
ORDK00414,2018-06-27,13:44:47,Lunch,tp,"[('Salad', 8), ('Fries', 9), ('Chicken', 3)]",341.6,-37.8189293,144.9735523,0,7.245,13.2358269
ORDZ08923,2018-04-22,11:43:05,Breakfast,NS,"[('Cereal', 4), ('Eggs', 3), ('Coffee', 6)]",195.0,-37.8187871,144.9534134,0,9.221,16.1120018
ORDC08350,2018-04-04,11:02:32,Breakfast,NS,"[('Pancake', 4), ('Eggs', 10), ('Cereal', 4), ('Coffee', 6)]",446.0,37.817408,144.9458239,0,9.435,14.3951849
ORDX05369,2018-11-23,18:49:00,Dinner,BK,"[('Shrimp', 3), ('Fish&Chips', 2), ('Salmon', 8), ('Pasta', 1)]",587.5,-37.8197678,144.9426642,0,6.744,16.5128476
ORDZ10882,2018-02-25,09:41:24,Breakfast,NS,"[('Eggs', 3), ('Cereal', 2), ('Pancake', 2), ('Coffee', 1)]",164.0,-37.8164124,144.9558028,0,6.636,15.4568835
ORDC06709,2018-01-14,08:20:16,Breakfast,NS,"[('Eggs', 4), ('Pancake', 1), ('Salmon', 1)]",133.25,-37.8071388,144.9916771,1,8.416,8.2397225
ORDZ04034,2018-07-28,14:55:46,Lunch,NS,"[('Chicken', 4), ('Burger', 3)]",180.4,-37.8048891,144.9880041,0,8.081,15.4308625
ORDJ10983,2018-07-30,14:55:46,Lunch,BK,"[('Salad', 2), ('Steak', 9), ('Chicken', 6), ('Fries', 2)]",655.4,-37.8121119,144.9739817,0,8.787,12.3520911
ORDB02760,2018-01-24,08:40:33,Breakfast,TP,"[('Eggs', 8), ('Pancake', 8)]",370.0,-37.825537,144.9764598,0,8.515,11.2372022
ORDJ03026,2018-04-28,11:53:14,Breakfast,TP,"[('Eggs', 3), ('Coffee', 2)]",81.0,-37.8026916,144.95606,0,9.625,12.9382835
ORDI09058,2018-12-23,19:49:51,Dinner,NS,"[('Pasta', 5), ('Fish&Chips', 5)]",693.0,-37.8192852,145.0018656,0,10.414,18.5813626
ORDK04791,2018-02-17,09:31:16,Breakfast,BK,"[('Eggs', 4), ('Pancake', 7), ('Cereal', 10)]",467.75,-37.8252921,144.9821561,0,7.002,14.0012171
ORDC06899,2018-07-21,14:35:29,Lunch,NS,"[('Burger', 10), ('Fries', 10), ('Chicken', 2), ('Salad', 3)]",545.6,-37.8256816,144.9847749,0,9.558,17.1988564
ORDJ10945,2018-05-19,12:33:48,Lunch,TP,"[('Chicken', 7), ('Burger', 2)]",286.0,-37.8140035,144.9524232,1,8.909,13.235495
ORDK05494,2018-11-05,18:08:27,Dinner,BK,"[('Shrimp', 5), ('Fish&Chips', 1)]",305.0,37.8198573,144.9518752,0,8.922,16.0591241
ORDJ00251,2018-12-11,19:19:26,Dinner,ns,"[('Fish&Chips', 1), ('Shrimp', 1), ('Pasta', 8)]",309.0,-37.8225585,144.9501314,0,8.647,12.8321315
ORDB07077,2018-07-07,14:15:12,Lunch,TP,"[('Burger', 3), ('Fries', 4)]",760.0,-37.8251753,144.9569422,0,8.082,13.3827638
ORDC04608,2018-24-09,16:47:19,Dinner,NS,"[('Shrimp', 10), ('Pasta', 2), ('Fish&Chips', 3)]",700.0,-37.8168862,144.988144,0,9.05,15.2769725
ORDZ03638,2018-11-07,18:18:35,Dinner,NS,"[('Salmon', 7), ('Pasta', 9), ('Shrimp', 10), ('Fish&Chips', 8)]",1354.5,37.8112673,144.9617174,0,7.744,13.6261442
ORDY03309,2018-12-05,19:09:17,Dinner,TP,"[('Shrimp', 7), ('Salmon', 5)]",511.5,-37.8188006,144.9549405,0,8.336,12.0840439
ORDA04401,2018-10-03,17:07:36,Dinner,BK,"[('Salmon', 1), ('Shrimp', 10), ('Pasta', 4), ('Fish&Chips', 5)]",866.0,-37.8024904,144.9634374,0,7.809,14.7567256
ORDZ02029,2018-05-04,12:03:22,Lunch,NS,"[('Burger', 6), ('Salad', 7), ('Fries', 9)]",414.4,37.8001569,144.9353663,0,6.636,12.3695577
ORDI10916,2018-12-15,19:29:34,Dinner,NS,"[('Shrimp', 1), ('Pasta', 4)]",801.0,-37.8245911,144.9434375,0,10.589,18.1154575
ORDX04691,2018-06-09,13:14:21,Lunch,BK,"[('Salad', 4), ('Steak', 8), ('Burger', 3), ('Fries', 10)]",516.5,-37.8204811,144.9840904,0,6.452,15.0679377
ORDB10295,2018-08-28,15:56:37,Lunch,TP,"[('Burger', 9), ('Fries', 5), ('Salad', 3), ('Steak', 4)]",570.6,-37.8114635,144.963864,0,9.711,11.6411996
ORDJ06681,2018-05-11,12:13:31,Lunch,TP,"[('Cereal', 2), ('Steak', 7), ('Fries', 3)]",415.0,-37.8112815,145.0020726,0,11.164,14.5078188
ORDJ10275,2018-04-07,11:02:32,Breakfast,TP,"[('Coffee', 3), ('Cereal', 7), ('Eggs', 3)]",235.5,-37.8227021,145.0076149,0,11.247,15.2207444
ORDX10324,10-01-2018,08:10:08,Breakfast,BK,"[('Eggs', 3), ('Pancake', 5), ('Cereal', 9)]",376.25,-37.8066513,144.9570285,1,8.296,6.8223064
ORDK03715,2018-10-11,17:17:44,Dinner,BK,"[('Fish&Chips', 10), ('Shrimp', 4)]",566.0,-37.8120855,144.9535613,0,8.647,14.9837994
ORDC07731,2018-04-11,11:12:40,Breakfast,NS,"[('Fish&Chips', 9), ('Coffee', 10), ('Cereal', 6), ('Eggs', 3)]",485.25,-37.826438,144.9519378,0,10.138,15.0590616
ORDI05296,2018-04-23,11:43:05,Breakfast,NS,"[('Pancake', 10), ('Coffee', 2), ('Cereal', 4)]",341.5,-37.8194809,144.9521545,0,9.355,14.8942061
ORDK09755,2018-03-16,10:21:58,Breakfast,BK,"[('Eggs', 4), ('Cereal', 9), ('Coffee', 3)]",299.5,-37.8078017,144.9424368,0,9.604,14.8095848
ORDY08080,2018-11-28,18:59:09,Dinner,TP,"[('Shrimp', 6), ('Fish&Chips', 7)]",569.0,37.8050461,144.9672492,0,9.401,13.7273223
ORDA00890,2018-04-11,11:12:40,Breakfast,BK,"[('Eggs', 5), ('Cereal', 8), ('Coffee', 3), ('Pancake', 4)]",397.5,-37.8406543,144.9930679,0,10.893,16.3632688
ORDY04924,2018-11-03,18:08:27,Dinner,TP,"[('Shrimp', 9), ('Salmon', 1), ('Pasta', 6), ('Fish&Chips', 6)]",902.0,-37.8010605,144.9984193,0,11.738,17.3238044
ORDC06702,2018-05-12,12:13:31,Lunch,NS,"[('Salad', 2), ('Fries', 8), ('Burger', 2)]",192.4,37.8022824,144.9622235,0,7.018,14.7877728
ORDX06996,2018-06-15,13:24:30,Dinner,BK,"[('Burger', 2), ('Fries', 8)]",158.0,-37.8132681,144.96547,0,7.52,12.6299528
ORDJ06852,2018-23-05,12:43:56,Lunch,TP,"[('Fries', 5), ('Steak', 10), ('Burger', 4)]",634.0,-37.8146281,144.9834564,0,9.31,13.0942944
ORDB07843,2018-04-30,11:53:14,Breakfast,TP,"[('Eggs', 8), ('Coffee', 3), ('Cereal', 8)]",366.5,-37.8173159,144.9531882,0,10.009,11.6097328
ORDC00573,2018-07-18,14:35:29,Lunch,NS,"[('Eggs', 7), ('Salad', 10)]",389.0,-37.8125349,144.9434391,0,9.266,14.6554608
ORDI06370,2018-09-06,16:06:45,Dinner,NS,"[('Salmon', 4), ('Fish&Chips', 5), ('Shrimp', 7)]",717.0,-37.8167361,144.9273952,0,10.403,16.5534555
ORDK06096,2018-02-24,09:41:24,Breakfast,BK,"[('Eggs', 9), ('Pancake', 6), ('Cereal', 8)]",511.5,-37.8164558,144.9608432,0,8.086,15.5097526
ORDB05508,2018-16-10,17:27:53,Dinner,TP,"[('Pasta', 8), ('Shrimp', 5), ('Fish&Chips', 8), ('Salmon', 10)]",1180.0,-37.8223138,144.9967983,0,10.154,14.085795
ORDK09916,2018-12-30,20:00:00,Dinner,BK,"[('Shrimp', 10), ('Fish&Chips', 5)]",715.0,-37.8257965,144.9680325,0,8.332,17.6536448
ORDZ08200,2018-01-03,08:00:00,Breakfast,NS,"[('Coffee', 7), ('Eggs', 1), ('Cereal', 4)]",158.5,37.8009371,145.0154534,1,10.778,8.2210952
ORDA05377,2018-11-15,18:28:43,Dinner,BK,"[('Shrimp', 7), ('Salmon', 4)]",542.0,-37.8199366,144.9849822,0,7.884,13.1287798
ORDK02824,2018-10-30,17:58:18,Dinner,BK,"[('Salmon', 4), ('Shrimp', 6), ('Pasta', 4)]",598.0,-37.8082365,144.9421811,0,9.815,17.0519875
ORDX04455,2018-06-25,13:44:47,Lunch,BK,"[('Salad', 1), ('Chicken', 10)]",337.2,-37.8244373,144.9830501,0,7.036,13.4126517
ORDB09528,2018-19-01,08:30:25,Breakfast,TP,"[('Eggs', 4), ('Coffee', 9), ('Pancake', 3)]",228.25,-37.805573,144.9534896,0,9.413,11.7790221
ORDB07880,2018-10-05,17:07:36,Dinner,TP,"[('Fish&Chips', 3), ('Salmon', 8), ('Pasta', 8), ('Shrimp', 5)]",923.0,-37.8016619,144.9386283,0,11.736,15.5083958
ORDC09613,2018-08-12,15:26:11,Lunch,NS,"[('Chicken', 8), ('Fries', 8), ('Steak', 5), ('Salad', 4), ('Burger', 3)]",738.8,37.8181777,144.964958,0,8.504,15.9374625
ORDZ10264,2018-04-10,11:12:40,Breakfast,NS,"[('Coffee', 9), ('Cereal', 1)]",88.5,-37.8141616,144.9502788,0,10.965,16.1180955
ORDB03996,2018-10-22,17:48:10,Dinner,TP,"[('Pasta', 1), ('Shrimp', 5)]",297.5,-37.814368,144.9382372,0,10.323,14.2738095
ORDB01935,2018-11-19,18:38:52,Dinner,TP,"[('Salmon', 7), ('Fish&Chips', 9), ('Shrimp', 6)]",926.0,-37.8191543,144.9505999,0,8.843,12.7027919
ORDZ00943,2018-04-06,11:02:32,Breakfast,NS,"[('Pancake', 7), ('Cereal', 6), ('Eggs', 6)]",427.75,37.812266,144.9838112,0,8.327,13.5599411
ORDC01750,2018-03-09,10:11:49,Breakfast,NS,"[('Pancake', 7), ('Cereal', 10), ('Eggs', 4)]",467.75,-37.8073965,144.9628432,0,7.364,12.3842412
ORDA07039,2018-06-28,13:54:55,Lunch,BK,"[('Salad', 5), ('Chicken', 7), ('Steak', 5), ('Burger', 3), ('Fries', 10)]",748.0,-37.820376,145.0020671,0,4.832,11.0276
ORDJ01798,2018-08-07,15:16:03,Lunch,TP,"[('Chicken', 3), ('Burger', 2)]",158.0,-37.8102442,144.9621553,0,10.965,12.0794664
ORDY07564,2018-04-27,11:43:05,Breakfast,TP,"[('Eggs', 1), ('Coffee', 2)]",691.0,-37.8134818,144.9501435,0,9.188,11.4187706
ORDZ06017,2018-02-26,09:51:32,Breakfast,NS,"[('Eggs', 7), ('Pancake', 1), ('Cereal', 4)]",262.25,-37.8233525,144.9671934,0,9.062,13.6369224
ORDI00867,2018-08-21,15:36:20,Lunch,NS,"[('Burger', 6), ('Fries', 8), ('Chicken', 5), ('Salad', 7)]",562.4,-37.8167483,144.9699807,0,7.111,13.4635305
ORDY00058,2018-06-11,13:14:21,Lunch,TP,"[('Chicken', 10), ('Steak', 9), ('Burger', 10), ('Fries', 10), ('Salad', 10)]",1327.0,-37.8036444,144.9459766,0,10.089,13.7350447
ORDZ04960,2018-06-09,13:14:21,Dinner,NS,"[('Burger', 6), ('Chicken', 8)]",442.0,-37.8183988,144.9787977,0,9.109,16.502571
ORDJ07703,2018-09-23,16:47:19,Dinner,TP,"[('Shrimp', 8), ('Pasta', 2), ('Fish&Chips', 8), ('Salmon', 1)]",808.0,-37.8150656,144.9616574,1,8.125,13.7500417
ORDX07357,2018-09-29,16:57:27,Dinner,BK,"[('Salmon', 4), ('Fish&Chips', 9)]",479.0,-37.8071565,144.950805,0,8.64,17.9222718
ORDI07779,2018-02-11,09:21:07,Breakfast,NS,"[('Eggs', 8), ('Burger', 2)]",224.5,-37.8160461,144.9722204,0,7.902,14.8608318
ORDY04151,2018-11-05,18:08:27,Dinner,TP,"[('Shrimp', 8), ('Salmon', 6)]",678.0,-37.8174032,144.9703908,0,7.931,12.0776147
ORDX10265,04-11-2018,18:08:27,Dinner,BK,"[('Pasta', 6), ('Shrimp', 8), ('Fish&Chips', 7), ('Salmon', 3)]",965.0,-37.8113505,144.9528097,0,8.456,17.8519773
ORDC04467,2018-02-02,09:00:50,Dinner,NS,"[('Pancake', 10), ('Cereal', 9), ('Coffee', 8), ('Eggs', 1)]",513.5,-37.8197643,145.0127968,0,11.284,16.1894103
ORDA07908,2018-09-09,16:16:54,Dinner,BK,"[('Fish&Chips', 1), ('Pasta', 2)]",90.0,-37.8105621,144.9424712,0,10.721,20.3701841
ORDI00369,2018-01-04,08:00:00,Breakfast,NS,"[('Pasta', 6), ('Pancake', 5), ('Eggs', 9), ('Cereal', 5)]",469.25,-37.7996265,145.0188339,1,10.765,8.2532016
ORDX10833,2018-02-12,09:21:07,Breakfast,BK,"[('Cereal', 6), ('Coffee', 7), ('Fish&Chips', 2)]",227.0,-37.8157138,144.973834,0,6.85,11.9117691
ORDA06688,2018-11-11,18:28:43,Dinner,BK,"[('Salmon', 5), ('Pasta', 10), ('Fish&Chips', 3)]",585.0,-37.8028836,144.966495,0,11.33,17.1000978
ORDK08397,2018-05-05,12:03:22,Lunch,BK,"[('Salad', 1), ('Fries', 5), ('Burger', 5), ('Chicken', 5)]",564.8,-37.8017564,144.9986517,0,5.413,14.0601285
ORDK06198,2018-06-16,13:24:30,Lunch,BK,"[('Burger', 8), ('Steak', 4)]",428.0,-37.8176544,145.010849,0,4.128,12.688242
ORDI05394,2018-02-18,09:31:16,Breakfast,BK,"[('Coffee', 1), ('Pancake', 9), ('Eggs', 5), ('Cereal', 1)]",356.75,-37.8082678,144.9438179,0,9.242,16.2361207
ORDB00922,2018-04-03,11:02:32,Breakfast,TP,"[('Cereal', 1), ('Pancake', 2), ('Coffee', 10), ('Eggs', 10)]",364.5,-37.8105642,144.9845168,0,9.584,12.2082585
ORDB01052,2018-02-24,09:41:24,Breakfast,TP,"[('Eggs', 1), ('Cereal', 4), ('Coffee', 5), ('Pancake', 3)]",216.25,37.8110304,144.9636572,0,8.497,12.0116359
ORDZ02322,2018-09-29,16:57:27,Dinner,NS,"[('Salmon', 6), ('Pasta', 8), ('Shrimp', 5)]",736.0,-37.8081697,144.9517597,1,8.509,16.4607378
ORDY05583,2018-03-08,10:11:49,Breakfast,TP,"[('Pancake', 4), ('Eggs', 4)]",185.0,-37.8116652,144.9844562,0,9.48,11.4017083
ORDY10910,2018-10-03,17:07:36,Dinner,TP,"[('Pasta', 2), ('Fish&Chips', 4), ('Shrimp', 4), ('Salmon', 5)]",915.0,-37.8122134,144.9519126,0,9.15,13.5110624
ORDJ10546,2018-02-27,09:51:32,Breakfast,TP,"[('Coffee', 9), ('Eggs', 4), ('Cereal', 2), ('Pancake', 2)]",246.0,-37.8238866,144.9739223,1,8.423,11.0462362
ORDC05133,2018-10-26,17:48:10,Dinner,NS,"[('Salmon', 3), ('Fish&Chips', 6), ('Pasta', 4)]",443.0,-37.820523,144.9657444,0,8.933,14.7223998
ORDZ10119,2018-08-29,15:56:37,Lunch,NS,"[('Steak', 2), ('Fries', 6)]",162.0,-37.8104561,144.9613436,0,7.67,13.0882866
ORDJ00098,2018-07-30,14:55:46,Lunch,TP,"[('Chicken', 1), ('Burger', 6)]",218.0,-37.812169,144.9737831,0,8.787,11.5313566
ORDB04798,2018-06-03,13:04:13,Lunch,bk,"[('Burger', 1), ('Chicken', 10), ('Fries', 7), ('Salad', 10)]",607.0,-37.8166844,144.9700546,0,7.984,12.9029667
ORDB08373,2018-08-13,15:26:11,Lunch,TP,"[('Chicken', 8), ('Steak', 6), ('Burger', 1)]",557.0,-37.8052207,144.9419912,0,10.318,13.658605
ORDZ06459,2018-08-21,15:36:20,Lunch,NS,"[('Fries', 2), ('Steak', 2), ('Salad', 3), ('Chicken', 4), ('Burger', 5)]",448.6,-37.8167146,144.9699771,0,8.093,13.4672171
ORDJ07504,2018-10-12,17:27:53,Dinner,TP,"[('Fish&Chips', 2), ('Shrimp', 7)]",448.0,-37.7992427,144.983011,0,10.692,14.5774518
ORDY06873,2018-06-05,13:04:13,Lunch,TP,"[('Chicken', 9), ('Fries', 6), ('Steak', 2), ('Salad', 10)]",622.0,-37.7996238,144.9450559,0,10.65,13.6429698
ORDX10306,2018-10-10,17:17:44,Dinner,BK,"[('Shrimp', 4), ('Fish&Chips', 2)]",286.0,-37.8127518,144.9524035,1,8.569,15.2733228
ORDI06870,2018-05-25,12:43:56,Lunch,NS,"[('Fries', 5), ('Steak', 5)]",551.0,-37.8026534,144.9634908,0,6.944,12.6257553
ORDZ08634,2018-02-15,09:21:07,Dinner,NS,"[('Eggs', 7), ('Cereal', 9), ('Pancake', 8)]",537.0,-37.8119411,144.9693608,0,7.441,12.5131051
ORDI00733,2018-07-28,14:55:46,Lunch,NS,"[('Steak', 8), ('Fries', 7), ('Salad', 5)]",530.0,-37.8237043,144.9825536,0,9.23,16.8821575
ORDA10203,2018-04-19,11:32:57,Breakfast,tp,"[('Eggs', 4), ('Cereal', 1), ('Pancake', 6), ('Coffee', 8)]",314.5,-37.8134036,144.9740726,0,6.806,11.7185394
ORDI02282,2018-11-02,18:08:27,Dinner,NS,"[('Shrimp', 7), ('Pasta', 1), ('Salmon', 8), ('Fish&Chips', 8)]",1013.5,-37.8022149,144.9802886,0,7.161,12.9192222
ORDY00486,2018-12-31,20:00:00,Dinner,TP,"[('Fish&Chips', 8), ('Shrimp', 10)]",820.0,-37.8041779,144.9585033,0,11.158,12.9688693
ORDZ09819,2018-01-23,08:40:33,Breakfast,NS,"[('Coffee', 1), ('Cereal', 7), ('Pancake', 3), ('Eggs', 5)]",337.25,-37.7874421,144.9804091,0,9.23,12.7627635
ORDZ04479,2018-01-09,08:10:08,Breakfast,NS,"[('Pancake', 10), ('Eggs', 1), ('Coffee', 10), ('Cereal', 3)]",402.5,-37.8221915,144.9476644,1,10.377,7.2996139
ORDY06164,2018-09-10,16:16:54,Dinner,TP,"[('Salmon', 5), ('Shrimp', 2), ('Pasta', 4), ('Fish&Chips', 2)]",493.0,37.8073806,144.9981959,0,11.141,14.9306487
ORDB05718,2018-12-22,19:49:51,Dinner,TP,"[('Fish&Chips', 9), ('Salmon', 5), ('Pasta', 5)]",657.5,-37.8096824,144.9725933,1,9.126,14.8592072
ORDC08092,2018-09-10,16:16:54,Dinner,NS,"[('Salmon', 2), ('Shrimp', 7)]",460.0,37.8077968,144.9732022,0,7.074,12.9505789
ORDJ06845,2018-05-14,12:23:39,Lunch,TP,"[('Burger', 9), ('Salad', 7), ('Chicken', 2), ('Steak', 1)]",508.4,-37.8033609,144.9905526,0,11.586,14.976581
